Toll Name,Fee Effective Date,Ca/Jeep/Van,LCV,Bus Truck,Up To 3 Axle,Four To Six,HCM,Seven Or More,Revision Date
Chhara,01-Apr-21,60.00;90.00;1980.00;30.00,95.00;145.00;3200.00;50.00,200.00 ;300.00;6705.00;100.00,220.00 ;330.00;7315.00;110.00,315.00 ;475.00;10515.00;160.00,315.00 ;475.00;10515.00;160.00,385.00 ;575.00;12805.00;190.00,
Vavadikhurd,01-Apr-21,120.00;175.00;3930.00;NA,180.00;275.00;6070.00;NA,370.00 ;555.00;12350.00;NA,565.00 ;845.00;18810.00;NA,565.00 ;845.00;18810.00;NA,565.00 ;845.00;18810.00;NA,725.00 ;1090.00;24245.00;NA,
Bhago Majra,01-Apr-21,70.00;105.00;2300.00;35.00,110.00;165.00;3720.00;55.00,235.00 ;350.00;7790.00;115.00,255.00 ;380.00;8500.00;125.00,365.00 ;550.00;12215.00;185.00,365.00 ;550.00;12215.00;185.00,445.00 ;670.00;14875.00;225.00,
Gangaycha Jatt,01-Apr-21,85.00;125.00;2750.00;NA,130.00;195.00;4280.00;NA,265.00 ;395.00;8770.00;NA,405.00 ;605.00;13440.00;NA,405.00 ;605.00;13440.00;NA,405.00 ;605.00;13440.00;NA,515.00 ;770.00;17125.00;NA,
Bhavdeen,01-Apr-21,65.00;95.00;2105.00;30.00,100.00;155.00;3400.00;50.00,215.00 ;320.00;7120.00;105.00,235.00 ;350.00;7770.00;115.00,335.00 ;500.00;11165.00;165.00,335.00 ;500.00;11165.00;165.00,410.00 ;610.00;13595.00;205.00,
Varahi,01-Apr-21,85.00;125.00;2800.00;NA,135.00;205.00;4525.00;NA,285.00 ;425.00;9480.00;NA,445.00 ;670.00;14865.00;NA,445.00 ;670.00;14865.00;NA,445.00 ;670.00;14865.00;NA,545.00 ;815.00;18095.00;NA,
Vantada,01-Apr-2019          ,35.00;55.00;1200.00;20.00,60.00;85.00;1940.00;30.00,120.00 ;185.00;4065.00;60.00,135.00 ;200.00;4435.00;65.00,190.00 ;285.00;6375.00;95.00,190.00 ;285.00;6375.00;95.00,235.00 ;350.00;7765.00;115.00,31-Mar-20
Vasad,01-Apr-21,130.00;195.00;4295.00;65.00,200.00;300.00;6685.00;100.00,410.00 ;615.00;13690.00;205.00,450.00 ;675.00;14995.00;225.00,630.00 ;945.00;20955.00;315.00,630.00 ;945.00;20955.00;315.00,800.00 ;1205.00;26745.00;400.00,
Vadodara,04-Jan-2020          ,110.00;165.00;3720.00;NA,180.00;270.00;6010.00;NA,380.00 ;565.00;12600.00;NA,410.00 ;620.00;13745.00;NA,595.00 ;890.00;19755.00;NA,595.00 ;890.00;19755.00;NA,720.00 ;1080.00;24050.00;NA,31-Mar-21
Vanana,01-Apr-21,70.00;100.00;2255.00;35.00,110.00;165.00;3645.00;55.00,230.00 ;345.00;7635.00;115.00,250.00 ;375.00;8330.00;125.00,360.00 ;540.00;11975.00;180.00,360.00 ;540.00;11975.00;180.00,435.00 ;655.00;14575.00;220.00,
Vaghasia,01-Apr-21,95.00;145.00;3215.00;50.00,155.00;235.00;5195.00;80.00,325.00 ;490.00;10885.00;165.00,355.00 ;535.00;11875.00;180.00,510.00 ;770.00;17070.00;255.00,510.00 ;770.00;17070.00;255.00,625.00 ;935.00;20785.00;310.00,
Dahar,01-Apr-21,95.00;145.00;3220.00;NA,150.00;225.00;4975.00;NA,305.00 ;455.00;10145.00;NA,465.00 ;695.00;15440.00;NA,465.00 ;695.00;15440.00;NA,465.00 ;695.00;15440.00;NA,595.00 ;895.00;19900.00;NA,
Surajbari,01-Apr-21,80.00;120.00;2615.00;40.00,125.00;190.00;4225.00;65.00,265.00 ;400.00;8855.00;135.00,290.00 ;435.00;9660.00;145.00,415.00 ;625.00;13885.00;210.00,415.00 ;625.00;13885.00;210.00,505.00 ;760.00;16900.00;255.00,
Undavariya/ Sirohi,01-Apr-21,40.00;60.00;1340.00;20.00,65.00;100.00;2170.00;35.00,135.00 ;205.00;4545.00;70.00,150.00 ;225.00;4955.00;75.00,215.00 ;320.00;7125.00;105.00,215.00 ;320.00;7125.00;105.00,260.00 ;390.00;8675.00;130.00,
Pithai,01-Apr-21,105.00;160.00;3505.00;NA,165.00;250.00;5540.00;NA,345.00 ;515.00;11465.00;NA,530.00 ;800.00;17740.00;NA,530.00 ;800.00;17740.00;NA,530.00 ;800.00;17740.00;NA,665.00 ;995.00;22165.00;NA,
Badopatti,01-Apr-21,105.00;155.00;3420.00;50.00,165.00;250.00;5520.00;85.00,345.00 ;520.00;11565.00;175.00,380.00 ;570.00;12620.00;190.00,545.00 ;815.00;18140.00;270.00,545.00 ;815.00;18140.00;270.00,660.00 ;995.00;22085.00;330.00,
Radhvanaj (Kheda),01-Apr-21,90.00;135.00;2980.00;45.00,140.00;210.00;4710.00;70.00,290.00 ;440.00;9745.00;145.00,320.00 ;480.00;10655.00;160.00,450.00 ;680.00;15070.00;225.00,450.00 ;680.00;15070.00;225.00,565.00 ;850.00;18845.00;285.00,
Nageshri,01-Apr-21,40.00;60.00;1320.00;20.00,65.00;95.00;2130.00;30.00,135.00 ;200.00;4460.00;65.00,145.00 ;220.00;4865.00;75.00,210.00 ;315.00;6995.00;105.00,210.00 ;315.00;6995.00;105.00,255.00 ;385.00;8515.00;130.00,
Samakhiyali,01-Apr-21,70.00;105.00;2315.00;NA,110.00;170.00;3735.00;NA,235.00 ;350.00;7830.00;NA,370.00 ;550.00;12275.00;NA,370.00 ;550.00;12275.00;NA,370.00 ;550.00;12275.00;NA,450.00 ;675.00;14945.00;NA,
Pithadiya,01-Oct-20,40.00;NA;NA;20.00,65.00;NA;NA;35.00,130.00 ;NA;NA;65.00,215.00 ;NA;NA;105.00,215.00 ;NA;NA;105.00,215.00 ;NA;NA;105.00,215.00 ;NA;NA;105.00,
Mokha,01-Apr-21,115.00;170.00;3790.00;NA,180.00;270.00;5985.00;NA,370.00 ;555.00;12370.00;NA,575.00 ;860.00;19125.00;NA,575.00 ;860.00;19125.00;NA,575.00 ;860.00;19125.00;NA,720.00 ;1080.00;23950.00;NA,
Nadiad,01-Apr-21,115.00;175.00;3845.00;NA,185.00;280.00;6210.00;NA,390.00 ;585.00;13005.00;NA,425.00 ;640.00;14190.00;NA,610.00 ;920.00;20395.00;NA,610.00 ;920.00;20395.00;NA,745.00 ;1115.00;24830.00;NA,
Makhel,01-Apr-21,80.00;120.00;2650.00;NA,130.00;195.00;4280.00;NA,270.00 ;405.00;8965.00;NA,420.00 ;635.00;14055.00;NA,420.00 ;635.00;14055.00;NA,420.00 ;635.00;14055.00;NA,515.00 ;770.00;17115.00;NA,
Mandava,01-Apr-21,25.00;35.00;830.00;10.00,40.00;60.00;1345.00;20.00,85.00 ;125.00;2815.00;40.00,90.00 ;140.00;3075.00;45.00,135.00 ;200.00;4415.00;65.00,135.00 ;200.00;4415.00;65.00,160.00 ;240.00;5380.00;80.00,
Ring Raod,01-Apr-21,115.00;175.00;3845.00;NA,185.00;280.00;6210.00;NA,390.00 ;585.00;13005.00;NA,425.00 ;640.00;14190.00;NA,610.00 ;920.00;20395.00;NA,610.00 ;920.00;20395.00;NA,745.00 ;1115.00;24830.00;NA,
Kobadi,01-Apr-21,40.00;65.00;1405.00;20.00,70.00;100.00;2265.00;35.00,145.00 ;215.00;4750.00;70.00,155.00 ;235.00;5185.00;80.00,225.00 ;335.00;7450.00;110.00,225.00 ;335.00;7450.00;110.00,270.00 ;410.00;9070.00;135.00,
Khemana,01-Apr-21,65.00;95.00;2100.00;30.00,100.00;155.00;3395.00;50.00,215.00 ;320.00;7110.00;105.00,235.00 ;350.00;7760.00;115.00,335.00 ;500.00;11155.00;165.00,335.00 ;500.00;11155.00;165.00,405.00 ;610.00;13580.00;205.00,
Khaniwade,01-Sep-20,70.00;110.00;2155.00;NA,125.00;190.00;3770.00;NA,250.00 ;375.00;7540.00;NA,405.00 ;605.00;12115.00;NA,405.00 ;605.00;12115.00;NA,405.00 ;605.00;12115.00;NA,405.00 ;605.00;12115.00;NA,
Kuchadi,01-Apr-21,105.00;155.00;3470.00;50.00,170.00;250.00;5610.00;85.00,350.00 ;530.00;11750.00;175.00,385.00 ;575.00;12820.00;190.00,555.00 ;830.00;18425.00;275.00,555.00 ;830.00;18425.00;275.00,675.00 ;1010.00;22430.00;335.00,
Mandal (Vyara),01-Apr-21,145.00;220.00;4870.00;NA,225.00;340.00;7560.00;NA,465.00 ;695.00;15440.00;NA,710.00 ;1060.00;23605.00;NA,710.00 ;1060.00;23605.00;NA,710.00 ;1060.00;23605.00;NA,905.00 ;1360.00;30220.00;NA,
Vadodra,01-Apr-21,115.00;175.00;3845.00;NA,185.00;280.00;6210.00;NA,390.00 ;585.00;13005.00;NA,425.00 ;640.00;14190.00;NA,610.00 ;920.00;20395.00;NA,610.00 ;920.00;20395.00;NA,745.00 ;1115.00;24830.00;NA,
Elevated Section/ Electronic City,01-Jul-20,50.00;75.00;1455.00;NA,70.00;100.00;2035.00;NA,135.00 ;205.00;4070.00;NA,,,270.00 ;405.00;8135.00;NA,,
Kathpur,22-Apr-21,65.00;100.00;2215.00;35.00,105.00;160.00;3580.00;55.00,225.00 ;335.00;7495.00;110.00,245.00 ;370.00;8180.00;125.00,355.00 ;530.00;11755.00;175.00,355.00 ;530.00;11755.00;175.00,430.00 ;645.00;14310.00;215.00,
Gorsar,01-Apr-21,90.00;135.00;3000.00;45.00,145.00;220.00;4845.00;75.00,305.00 ;455.00;10150.00;150.00,330.00 ;500.00;11075.00;165.00,480.00 ;715.00;15920.00;240.00,480.00 ;715.00;15920.00;240.00,580.00 ;870.00;19380.00;290.00,
Gadoi,01-Apr-21,65.00;95.00;2155.00;30.00,105.00;155.00;3475.00;50.00,220.00 ;330.00;7285.00;110.00,240.00 ;360.00;7950.00;120.00,345.00 ;515.00;11425.00;170.00,345.00 ;515.00;11425.00;170.00,415.00 ;625.00;13910.00;210.00,
Okhamadi,01-Apr-21,65.00;95.00;2150.00;30.00,105.00;155.00;3475.00;50.00,220.00 ;325.00;7275.00;110.00,240.00 ;355.00;7940.00;120.00,340.00 ;515.00;11410.00;170.00,340.00 ;515.00;11410.00;170.00,415.00 ;625.00;13890.00;210.00,
Dhumiyani,01-Apr-21,100.00;150.00;3340.00;50.00,160.00;245.00;5395.00;80.00,340.00 ;510.00;11300.00;170.00,370.00 ;555.00;12330.00;185.00,530.00 ;795.00;17720.00;265.00,530.00 ;795.00;17720.00;265.00,645.00 ;970.00;21575.00;325.00,
Dari,01-Apr-21,80.00;125.00;2745.00;40.00,135.00;200.00;4435.00;65.00,280.00 ;420.00;9295.00;140.00,305.00 ;455.00;10140.00;150.00,435.00 ;655.00;14575.00;220.00,435.00 ;655.00;14575.00;220.00,530.00 ;800.00;17745.00;265.00,
Choryasi,01-Jul-2019          ,75.00;110.00;2230.00;20.00,130.00;195.00;3905.00;NA,260.00 ;390.00;7810.00;NA,420.00 ;630.00;12555.00;NA,420.00 ;630.00;12555.00;NA,420.00 ;630.00;12555.00;NA,420.00 ;630.00;12555.00;NA,30-Jun-20
Boriach,01-Sep-20,65.00;95.00;1885.00;NA,110.00;165.00;3305.00;NA,220.00 ;330.00;6605.00;NA,355.00 ;530.00;10615.00;NA,355.00 ;530.00;10615.00;NA,355.00 ;530.00;10615.00;NA,355.00 ;530.00;10615.00;NA,
Bhiladi,01-Apr-21,80.00;120.00;2675.00;NA,130.00;195.00;4325.00;NA,270.00 ;410.00;9060.00;NA,425.00 ;640.00;14210.00;NA,425.00 ;640.00;14210.00;NA,425.00 ;640.00;14210.00;NA,520.00 ;780.00;17300.00;NA,
Bhatwada (Godhra),01-Apr-21,150.00;225.00;5005.00;NA,235.00;355.00;7885.00;NA,490.00 ;730.00;16265.00;NA,750.00 ;1130.00;25075.00;NA,750.00 ;1130.00;25075.00;NA,750.00 ;1130.00;25075.00;NA,945.00 ;1420.00;31530.00;NA,
Bharudi,01-Oct-20,40.00;NA;NA;20.00,65.00;NA;NA;35.00,130.00 ;NA;NA;65.00,215.00 ;NA;NA;105.00,215.00 ;NA;NA;105.00,215.00 ;NA;NA;105.00,215.00 ;NA;NA;105.00,
BharthanKarjan,01-Jul-2019          ,95.00;145.00;2860.00;50.00,165.00;250.00;5005.00;85.00,335.00 ;500.00;10010.00;165.00,535.00 ;805.00;16090.00;270.00,535.00 ;805.00;16090.00;270.00,535.00 ;805.00;16090.00;270.00,535.00 ;805.00;16090.00;270.00,30-Jun-20
Charoti,01-Sep-20,65.00;100.00;1960.00;NA,115.00;170.00;3435.00;NA,230.00 ;345.00;6870.00;NA,370.00 ;550.00;11040.00;NA,370.00 ;550.00;11040.00;NA,370.00 ;550.00;11040.00;NA,370.00 ;550.00;11040.00;NA,
Bhagwada,01-Sep-20,70.00;110.00;2155.00;NA,125.00;190.00;3770.00;NA,250.00 ;375.00;7540.00;NA,405.00 ;605.00;12115.00;NA,405.00 ;605.00;12115.00;NA,405.00 ;605.00;12115.00;NA,405.00 ;605.00;12115.00;NA,
Bagodara (MoRTH),15-Jul-2014          ,20.00;30.00;600.00,37.50;56.25;1687.50,75.00 ;112.50;3375.00,75.00 ;112.50;3375.00,75.00 ;112.50;3375.00,84.00 ;126.00;3780.00,84.00 ;126.00;3780.00,14-Jul-15
Bhatia,01-Apr-21,115.00;170.00;3795.00;NA,180.00;270.00;5980.00;NA,370.00 ;555.00;12355.00;NA,570.00 ;860.00;19080.00;NA,570.00 ;860.00;19080.00;NA,570.00 ;860.00;19080.00;NA,720.00 ;1075.00;23930.00;NA,
Bhalgam (Belgaum),01-Apr-21,80.00;115.00;2605.00;NA,125.00;190.00;4205.00;NA,265.00 ;395.00;8810.00;NA,415.00 ;620.00;13815.00;NA,415.00 ;620.00;13815.00;NA,415.00 ;620.00;13815.00;NA,505.00 ;755.00;16820.00;NA,
IGI Airport,01-Apr-21,20.00;NA;NA;NA,30.00;NA;NA;NA,60.00 ;NA;NA;NA,60.00 ;NA;NA;NA,60.00 ;NA;NA;NA,60.00 ;NA;NA;NA,60.00 ;NA;NA;NA,
Sundar Nagar,01-Jul-2018          ,25.00;NA;NA;10.00,40.00;NA;NA;20.00,85.00 ;NA;NA;40.00,135.00 ;NA;NA;70.00,135.00 ;NA;NA;70.00,135.00 ;NA;NA;70.00,135.00 ;NA;NA;70.00,30-Jun-19
Pachira,01-Apr-21,30.00;45.00;965.00;15.00,45.00;70.00;1560.00;25.00,100.00 ;145.00;3270.00;50.00,105.00 ;160.00;3570.00;55.00,155.00 ;230.00;5130.00;75.00,155.00 ;230.00;5130.00;75.00,185.00 ;280.00;6245.00;95.00,
Thakurtola (End of Durg Bypass),01-Sep-20,95.00;140.00;2825.00;NA,165.00;245.00;4940.00;NA,330.00 ;495.00;9885.00;NA,530.00 ;795.00;15885.00;NA,530.00 ;795.00;15885.00;NA,530.00 ;795.00;15885.00;NA,530.00 ;795.00;15885.00;NA,
Kherki Daula,01-Apr-21,70.00;NA;NA;NA,100.00;NA;NA;NA,100.00 ;NA;NA;NA,205.00 ;NA;NA;NA,205.00 ;NA;NA;NA,205.00 ;NA;NA;NA,205.00 ;NA;NA;NA,
Mudhipar,04-Jan-21,40.00;60.00;1335.00;20.00,65.00;95.00;2160.00;30.00,135.00 ;205.00;4525.00;70.00,150.00 ;220.00;4935.00;75.00,215.00 ;320.00;7095.00;105.00,215.00 ;320.00;7095.00;105.00,260.00 ;390.00;8640.00;130.00,
Nandghat Bridge (MoRTH),19-Mar-2009          ,10.00;10.00;NA,15.00;15.00;NA,25.00 ;25.00;NA,,,,,19-Mar-14
Mashora,01-Apr-21,50.00;80.00;1745.00;25.00,85.00;125.00;2820.00;40.00,175.00 ;265.00;5905.00;90.00,195.00 ;290.00;6440.00;95.00,280.00 ;415.00;9260.00;140.00,280.00 ;415.00;9260.00;140.00,340.00 ;505.00;11275.00;170.00,
Bhagan,01-Apr-21,75.00;115.00;2505.00;40.00,120.00;180.00;4045.00;60.00,255.00 ;380.00;8470.00;125.00,275.00 ;415.00;9240.00;140.00,400.00 ;600.00;13285.00;200.00,400.00 ;600.00;13285.00;200.00,485.00 ;730.00;16175.00;245.00,
Lakholi,01-Jul-2019          ,25.00;NA;NA;10.00,45.00;NA;NA;20.00,85.00 ;NA;NA;45.00,140.00 ;NA;NA;70.00,140.00 ;NA;NA;70.00,140.00 ;NA;NA;70.00,140.00 ;NA;NA;70.00,30-Jun-20
KUMHARI,01-Dec-21,15.00;20.00;425.00;5.00,20.00;30.00;640.00;10.00,40.00 ;60.00;1280.00;20.00,40.00 ;60.00;1280.00;20.00,90.00 ;135.00;2990.00;45.00,90.00 ;135.00;2990.00;45.00,90.00 ;135.00;2990.00;45.00,
Bamanbore (MoRTH),15-Jul-2014          ,20.00;30.00;600.00;NA,37.50;56.25;1687.00;NA,75.00 ;112.50;3375.00;NA,84.00 ;126.00;3780.00;NA,,,,15-Jul-15
Anand,01-Apr-21,115.00;175.00;3845.00;NA,185.00;280.00;6210.00;NA,390.00 ;585.00;13005.00;NA,425.00 ;640.00;14190.00;NA,610.00 ;920.00;20395.00;NA,610.00 ;920.00;20395.00;NA,745.00 ;1115.00;24830.00;NA,
Mandir Hasaud,21-Jan-21,50.00;NA;NA;25.00,85.00;NA;NA;45.00,175.00 ;NA;NA;85.00,280.00 ;NA;NA;140.00,280.00 ;NA;NA;140.00,280.00 ;NA;NA;140.00,280.00 ;NA;NA;140.00,
Kharun (MoRTH),01-Apr-2014          ,24.00;24.00;NA,40.00;40.00;NA,81.00 ;81.00;NA,177.00 ;177.00;NA,,,,31-Mar-15
Kosa Nala (MoRTH),01-Apr-2014          ,24.00;24.00;NA,40.00;40.00;NA,81.00 ;81.00;NA,177.00 ;177.00;NA,,,,01-Apr-15
Durg Bypass (Dhamdanaka),01-Apr-21,60.00;NA;NA;NA,125.00;NA;NA;NA,185.00 ;NA;NA;NA,280.00 ;NA;NA;NA,280.00 ;NA;NA;NA,375.00 ;NA;NA;NA,280.00 ;NA;NA;NA,
Chotiya,01-Apr-21,65.00;95.00;2100.00;30.00,100.00;155.00;3390.00;50.00,215.00 ;320.00;7105.00;105.00,230.00 ;350.00;7750.00;115.00,335.00 ;500.00;11140.00;165.00,335.00 ;500.00;11140.00;165.00,405.00 ;610.00;13560.00;205.00,
Ahmedabad,01-Apr-21,115.00;175.00;3845.00;NA,185.00;280.00;6210.00;NA,390.00 ;585.00;13005.00;NA,425.00 ;640.00;14190.00;NA,610.00 ;920.00;20395.00;NA,610.00 ;920.00;20395.00;NA,745.00 ;1115.00;24830.00;NA,
Bhojpuri,01-Apr-21,85.00;125.00;2795.00;40.00,135.00;205.00;4515.00;70.00,285.00 ;425.00;9465.00;140.00,310.00 ;465.00;10325.00;155.00,445.00 ;670.00;14840.00;225.00,445.00 ;670.00;14840.00;225.00,540.00 ;815.00;18070.00;270.00,
Badayiguda,01-Apr-21,50.00;70.00;1605.00;25.00,80.00;115.00;2595.00;40.00,165.00 ;245.00;5440.00;80.00,180.00 ;265.00;5930.00;90.00,255.00 ;385.00;8530.00;130.00,255.00 ;385.00;8530.00;130.00,310.00 ;465.00;10380.00;155.00,
Jia Bridge (MoRTH),06-Apr-2014          ,10.00;15.00;335.00;NA,20.00;30.00;605.00;NA,35.00 ;55.00;1165.00;NA,35.00 ;55.00;1165.00;NA,35.00 ;55.00;1165.00;NA,50.00 ;75.00;1665.00;NA,70.00 ;105.00;2335.00;NA,01-Apr-15
Jagtara,01-Apr-21,40.00;60.00;1375.00;20.00,65.00;100.00;2220.00;35.00,140.00 ;210.00;4650.00;70.00,150.00 ;230.00;5070.00;75.00,220.00 ;330.00;7290.00;110.00,220.00 ;330.00;7290.00;110.00,265.00 ;400.00;8875.00;135.00,
Dhank,01-Apr-21,145.00;220.00;4875.00;75.00,230.00;345.00;7685.00;115.00,475.00 ;715.00;15835.00;240.00,520.00 ;780.00;17310.00;260.00,735.00 ;1100.00;24460.00;365.00,735.00 ;1100.00;24460.00;365.00,920.00 ;1380.00;30705.00;460.00,
Sasaram,01-Apr-2020          ,115.00;170.00;3780.00;NA,185.00;275.00;6110.00;NA,385.00 ;575.00;12800.00;NA,600.00 ;905.00;20070.00;NA,600.00 ;905.00;20070.00;NA,600.00 ;905.00;20070.00;NA,735.00 ;1100.00;24435.00;NA,31-Mar-21
Saidpur Patedha,01-Apr-2020          ,50.00;70.00;1605.00;25.00,80.00;115.00;2590.00;40.00,165.00 ;245.00;5425.00;80.00,180.00 ;265.00;5920.00;90.00,255.00 ;385.00;8510.00;130.00,255.00 ;385.00;8510.00;130.00,310.00 ;465.00;10360.00;155.00,31-Mar-21
Raje(Old Naraur),01-Apr-2020          ,115.00;170.00;3795.00;55.00,185.00;275.00;6130.00;90.00,385.00 ;580.00;12845.00;195.00,420.00 ;630.00;14010.00;210.00,605.00 ;905.00;20140.00;300.00,605.00 ;905.00;20140.00;300.00,735.00 ;1105.00;24520.00;370.00,31-Mar-21
Saukala,01-Apr-2020          ,90.00;130.00;2935.00;45.00,140.00;215.00;4740.00;70.00,300.00 ;445.00;9930.00;150.00,325.00 ;485.00;10835.00;160.00,465.00 ;700.00;15570.00;235.00,465.00 ;700.00;15570.00;235.00,570.00 ;855.00;18955.00;285.00,31-Mar-21
Runni,01-Apr-21,55.00;85.00;1885.00;30.00,90.00;135.00;3050.00;45.00,190.00 ;285.00;6385.00;95.00,210.00 ;315.00;6970.00;105.00,300.00 ;450.00;10015.00;150.00,300.00 ;450.00;10015.00;150.00,365.00 ;550.00;12195.00;185.00,
Parsoni Khem,01-Apr-2020          ,105.00;155.00;3420.00;50.00,165.00;250.00;5525.00;85.00,345.00 ;520.00;11575.00;175.00,380.00 ;570.00;12630.00;190.00,545.00 ;815.00;18155.00;270.00,545.00 ;815.00;18155.00;270.00,665.00 ;995.00;22100.00;330.00,31-Mar-21
Chuipali,01-Apr-21,110.00;160.00;3585.00;55.00,175.00;260.00;5790.00;85.00,365.00 ;545.00;12135.00;180.00,395.00 ;595.00;13240.00;200.00,570.00 ;855.00;19030.00;285.00,570.00 ;855.00;19030.00;285.00,695.00 ;1040.00;23165.00;345.00,
Mohania,01-Apr-2020          ,50.00;75.00;1700.00;NA,80.00;125.00;2745.00;NA,175.00 ;260.00;5750.00;NA,270.00 ;405.00;9020.00;NA,270.00 ;405.00;9020.00;NA,270.00 ;405.00;9020.00;NA,330.00 ;495.00;10980.00;NA,31-Mar-21
Pokhraira,01-Apr-2020          ,25.00;40.00;890.00;15.00,45.00;65.00;1435.00;20.00,90.00 ;135.00;3005.00;45.00,100.00 ;150.00;3280.00;50.00,140.00 ;210.00;4710.00;70.00,140.00 ;210.00;4710.00;70.00,170.00 ;260.00;5735.00;85.00,31-Mar-21
Maranga,01-Apr-21,60.00;90.00;2035.00;30.00,100.00;150.00;3290.00;50.00,205.00 ;310.00;6890.00;105.00,225.00 ;340.00;7515.00;115.00,325.00 ;485.00;10805.00;160.00,325.00 ;485.00;10805.00;160.00,395.00 ;590.00;13155.00;195.00,
Maithi,01-Apr-2020          ,115.00;175.00;3875.00;60.00,190.00;280.00;6260.00;95.00,395.00 ;590.00;13115.00;195.00,430.00 ;645.00;14305.00;215.00,615.00 ;925.00;20565.00;310.00,615.00 ;925.00;20565.00;310.00,750.00 ;1125.00;25035.00;375.00,31-Mar-21
Mahanth Maniyari,01-Apr-21,40.00;65.00;1410.00;20.00,70.00;100.00;2275.00;35.00,145.00 ;215.00;4770.00;70.00,155.00 ;235.00;5200.00;80.00,225.00 ;335.00;7475.00;110.00,225.00 ;335.00;7475.00;110.00,275.00 ;410.00;9100.00;135.00,
Khaikhat,01-Apr-21,60.00;85.00;1930.00;30.00,95.00;140.00;3120.00;45.00,195.00 ;295.00;6535.00;100.00,215.00 ;320.00;7125.00;105.00,305.00 ;460.00;10245.00;155.00,305.00 ;460.00;10245.00;155.00,375.00 ;560.00;12470.00;185.00,
Govindpur,01-Apr-21,35.00;55.00;1250.00;20.00,60.00;90.00;2020.00;30.00,125.00 ;190.00;4230.00;65.00,140.00 ;210.00;4615.00;70.00,200.00 ;300.00;6630.00;100.00,200.00 ;300.00;6630.00;100.00,240.00 ;365.00;8075.00;120.00,
Hariabara,01-Apr-2020          ,110.00;170.00;3740.00;55.00,180.00;270.00;6040.00;90.00,380.00 ;570.00;12655.00;190.00,415.00 ;620.00;13805.00;205.00,595.00 ;895.00;19845.00;300.00,595.00 ;895.00;19845.00;300.00,725.00 ;1085.00;24155.00;360.00,31-Mar-21
Bishunpurwa,01-Apr-21,30.00;45.00;965.00;15.00,45.00;70.00;1555.00;25.00,100.00 ;145.00;3260.00;50.00,105.00 ;160.00;3560.00;55.00,155.00 ;230.00;5115.00;75.00,155.00 ;230.00;5115.00;75.00,185.00 ;280.00;6230.00;95.00,
Bhagalpur,01-Apr-21,20.00;30.00;670.00;10.00,30.00;50.00;1085.00;15.00,70.00 ;100.00;2270.00;35.00,75.00 ;110.00;2475.00;35.00,105.00 ;160.00;3560.00;55.00,105.00 ;160.00;3560.00;55.00,130.00 ;195.00;4335.00;65.00,
Sonho,01-Apr-2020          ,35.00;50.00;1150.00;15.00,55.00;85.00;1860.00;30.00,115.00 ;175.00;3895.00;60.00,130.00 ;190.00;4250.00;65.00,185.00 ;275.00;6110.00;90.00,185.00 ;275.00;6110.00;90.00,225.00 ;335.00;7440.00;110.00,31-Mar-21
Kharik,01-Apr-21,50.00;80.00;1730.00;25.00,85.00;125.00;2795.00;40.00,175.00 ;265.00;5850.00;90.00,190.00 ;285.00;6385.00;95.00,275.00 ;415.00;9175.00;140.00,275.00 ;415.00;9175.00;140.00,335.00 ;505.00;11170.00;170.00,
Daffi,01-Apr-2020          ,65.00;100.00;2195.00;NA,105.00;160.00;3545.00;NA,225.00 ;335.00;7425.00;NA,350.00 ;525.00;11645.00;NA,350.00 ;525.00;11645.00;NA,350.00 ;525.00;11645.00;NA,425.00 ;640.00;14175.00;NA,31-Mar-21
Asanpur,01-Apr-2020          ,85.00;130.00;2885.00;45.00,140.00;210.00;4660.00;70.00,295.00 ;440.00;9760.00;145.00,320.00 ;480.00;10650.00;160.00,460.00 ;690.00;15305.00;230.00,460.00 ;690.00;15305.00;230.00,560.00 ;840.00;18635.00;280.00,31-Mar-21
Balgudar,01-Apr-21,50.00;75.00;1660.00;25.00,80.00;120.00;2680.00;40.00,170.00 ;255.00;5615.00;85.00,185.00 ;275.00;6125.00;90.00,265.00 ;395.00;8810.00;130.00,265.00 ;395.00;8810.00;130.00,320.00 ;485.00;10725.00;160.00,
Raha(Saragaon),01-Apr-21,100.00;150.00;3305.00;50.00,160.00;240.00;5340.00;80.00,335.00 ;505.00;11185.00;170.00,365.00 ;550.00;12200.00;185.00,525.00 ;790.00;17540.00;265.00,525.00 ;790.00;17540.00;265.00,640.00 ;960.00;21350.00;320.00,
Madanpur,01-Apr-21,110.00;170.00;3740.00;55.00,180.00;270.00;6045.00;90.00,380.00 ;570.00;12665.00;190.00,415.00 ;620.00;13815.00;205.00,595.00 ;895.00;19860.00;300.00,595.00 ;895.00;19860.00;300.00,725.00 ;1090.00;24175.00;365.00,
Manderdisa,01-Apr-21,90.00;140.00;3075.00;45.00,150.00;225.00;4965.00;75.00,310.00 ;470.00;10405.00;155.00,340.00 ;510.00;11355.00;170.00,490.00 ;735.00;16320.00;245.00,490.00 ;735.00;16320.00;245.00,595.00 ;895.00;19865.00;300.00,
Kalia Bhomora Bridge (MoRTH),23-Feb-2014          ,26.00;39.00;871.00,39.00;58.00;1306.00,78.00 ;117.00;2613.00,86.00 ;129.00;2881.00,86.00 ;129.00;2881.00,116.00 ;174.00;3886.00,156.00 ;234.00;5226.00,23-Feb-15
